Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
eng,HL,AL,2009-2010,Она сейчас очень дорогая*@* и особенна дорогая {{если}} она органическая.,если,условие,гп,null,мест,null,и,3ед,null мест,null
eng,HL,IH,2010,А {{если}} кто то из крестьян хочет пойти учиться а Университет он не может так как его туда не допустят из-за сословия.,если,условие,пг,мест,д_мест,и,и,3ед,мест д_мест,other
eng,FL,AL,2011,{{Если}} автор действительно верит*@* что это проблема уже ростит*@* он должен предлагать нам какие-то идеи.,если,условие,п_г,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,AL,2010-2011,Станавилось очевидно*@* что {{если}} Россия удачно модернизирует свою экономическую систему и армию*@* она станет одним из самых авторитетных государств в мире.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
ger,FL,A2,2013–,По моему мнению*@* {{если}} люди могут быть жадными*@* они будут такими.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
ita,FL,Other,,{{Если }} страна  желает  стать  мировым  лидером  в  экономической  и  политической  сфере*@*  то  она  не  имеет  право  пренебрегать  проблемами  экологии*@*  потому  что  таким  образом  нарушает  права  граждан  и  человека.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
kaz,HL,IL,,Даже  {{если }} она  сильно  переживает  она  никогда  не  показывает  этого.,если,условие,пг,мест,мест,и,и,3ед,мест мест,other
kaz,HL,AL,,И  так*@*  жизнь  продолжилась*@*  я  поступила  в  колледж*@*  закончила  на  красный*@*  поступила  в  универ*@*  на  грант*@*  и  каждый  раз  про  себя  думала*@*  ах*@*  {{если }} бы  все  это  видела  моя  бабушка*@*  она  бы  гордилась  мной.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
kor,FL,AH,,Я  ее  спрошу*@*  хочет  ли  она   сама  работать   или  найдет  ли  она  хорошего  переводчика*@*  {{если }} она  не  сможет.  с  уважением*@*  ваша ***,если,условие,гп,мест,мест,и,и,3ед,мест мест,other
kor,FL,AH,,Еще  я  хотела  сказать*@*  что  корейские  студенты  не  будут  понимать  задание 5  на  стр. 4.   Обычно  корейские  девушки  платят  сами  за  такси*@*  {{если }} они  одни  ездят  на  такси.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,C2,,Думаю*@*  что  было  бы  не  плохо  чуть  по- лучше  познакомиться  со  своими  соседями*@*  ведь  даже  {{если }} они  никогда  и  не  будут  самыми  близкими  людьми  твоей  жизни*@*  то  слово  в  слово*@*  физически*@*  они  все  таки  самые  близкие.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,A2,,Многие  говорят*@*  что  {{если }} два  человека  живёт  вместе  очень  долго*@*  они  становится  похожим  друг  на  друга.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,HL,B2,,{{Если }} бы  финны  и  русские  нашли  что-то  общие  они  могли  бы  научить  друг  другу  столько  свего  интересного!,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,HL,B2,,Разница  в  этом  между  Финляндией  и  Россией  то*@*  что  в  России  молодые  балерины  сразу  получают  роль*@*  {{если }} они  очинь  талантливы -  остальные  танцуют  в  корпс- де- баллете -*@*  но  в  Финляндии  обычно  балерина  может  прославиться  только  около 30  лет.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,B2,,Я  считаю*@*  что  {{если }} человек  станет  учиться  какую-нибудь  языку  уже  с  детство*@*  то  он  научится  говорить  языку  лучше*@*  чем  например*@*  {{если }} он  стал  бы  учится  языку  когда  он  уже  взрослый.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,HL,B2,,{{Если }} бы  сейчас  Т.  что- нибуть  себе  посоветовал  перед  переездом  в  Финляндию*@*  то  он  посоветовал  бы  себе  выучить  побыстрей  финский  язык –  лучше  уже  до  переезда.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,HL,B2,,В  настоящее  время  люди  не  очень  легко  больше  признают  {{если }} они  что-то  собирают.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,B2,,А  в  Финляндии  женщины  хорошо  выглядят*@*  {{если*@* }} например*@*  идут  на  праздник.,если,условие,гп,сущ,null,и,null,3мн,сущ null,null
fin,HL,B2,,{{Если }} он  любит  себя*@*  в  смысле  хочет  беречь  себя  и  заботиться  о  своём  здоровье*@*  он  точно  поймёт  важность  и  прелесть  спорта.,если,условие,п_г,мест,мест,и,и,3ед,мест мест,other
fin,HL,B2,,Например*@*  когда  жена  спрашивает  у  мужа*@*  как  она  выглядит  в  этом  платье*@*  муж  всегда  отвечает*@*  что « ты*@*  моя  дорогая*@*  выглядишь  отлично»*@*  даже  {{если }} он  это  платье  не  переносит.,если,условие,г_п,сущ,мест,и,и,3ед,сущ мест,other
fin,HL,B2,,Просто  так  по  городу  финны  не  ходят*@*  они  встречаются*@*  например*@*  в  кафе*@*  {{если }} хотят  общаться  друг  с  другом.,если,условие,гп,мест,null,и,null,3мн,мест null,null
fin,HL,B2,,Но  чего  стоят  эти  любезности*@*  {{если }} они  являются  просто  автоматическим*@*  выученным  наизусть  в  детстве  действием?,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,B2,,На  каток  может  прийти  любой*@*  даже  {{если }} он  пока  не  очень  хорошо  умеет  кататься.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,HL,B2,,Даже  {{если }} музыка  или  особенная  песня  с  грустными  словами  принуждает  тебя  валяться  на  кровате  и  грустить*@*  такая  музыка  всё  равно  сможет  ободрить  тебя.,если,условие,пг,сущ,сущ,и,и,3ед,сущ сущ,other
fin,FL,B2,,Финны  могут  даже  чуствовать  вину*@*  {{если }} они  купят  что-нибудь  дороже.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,Здесь  у  всех  право  голосовать  на  выборах   и  {{если }} гражданин  хочет*@*  он  может  участвовать  в  политике  и  быть  так  активным  как  ему  удобно.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,Кошка  не  страдает*@*  {{если }} она  проводит  время  одна  дома  пару  ночь -  собоку  нелзя  оставт  одной.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,Я  думаю*@*  что  кто-нибудь  может  стать  политиком*@*  {{если }} он  сам  это  хочет  довольно  много.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,Меня  лишь  удивляет*@*  кто  хотел  бы  учиться  или  работать  в  низкооплачиваемом  области*@*  {{если }} он  мог  бы  получить  одинакого  много  денег  автоматическо.,если,условие,гп,д_мест,мест,и,и,3ед,д_мест мест,other
fin,FL,B2,,Впечатление:  Какой  великий  правитель  он  был*@*  {{если }} бы  получил  соответствующее  воспитание!,если,условие,гп,мест,null,и,null,3ед,мест null,null
fin,FL,B2,,{{Если }} руководитель  начинает  свою  карьеру  как  предприниматель  и  потом  нанимает  сотрудников*@*  он  вероятно  лучше  понимает  своих  подчинённых  и  станет  более  демократическим  руководителем.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,У  меня  принцип*@*  что  {{если }} человек  ест 80 %  здорово*@*  он  может  ест  другие 20 %  то*@*  что  он  хочет.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,{{Если }} они  сами  участвовали*@*  они  понимали  как  система  работает.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
fin,FL,B2,,Во-первых*@*  {{если }} граждане  какой-то  страны  думают*@*  что  государство  всё  делает  правильно*@*  то  они  будут  обязательно  обманутыми.,если,условие,п_г,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,{{Если }} лидери  могут  получать  деньги  о  которых  решение  они  делают*@*  они  всегда  делают  плохие  решение.,если,условие,п_г,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,Люди  не  будет  счастливими  {{если }} покупают  много  вещи  и  {{если }} у  них  много  материалные  вещи.,если,условие,гп,сущ,null,и,null,3мн,сущ null,null
fin,FL,B2,,Она  все-таки  планирует  переехать  осеню  в  Хельсинки*@*  {{если }} поступает   в  университет  или  в  парикмахерскую  школу.,если,условие,гп,мест,null,и,null,3ед,мест null,null
fin,FL,B2,,На  наших  матчах  он  всегда  воодушевлял  всех  равномерно*@*  но  он  легко  сердился*@*  {{если }} он  считал  что  кто  то  из  нас  не  старается.,если,условие,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,По  моему  мнению  продавщица  только  мешает  {{если }} она  что-то  предлагает.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,{{Если }} мужчина  не  хочет  туда  пойти*@*  он  пойдёт  в  тюрьму  на  весь  год.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,Он  никогда  не  спорил  и  не  говорил  плохо  о  людях  и  {{если }} он  был  не  согласен  с  кем-то*@*  он  говорил  об  этом  вежливо*@*  но  прямо.,если,условие,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Родственники*@*  действующие  от  самых  лучших  побуждениий*@*  могут  на  самом  деле  лишать  его  помощи*@*  {{если }} сами  пытаются  решить  проблему.,если,условие,гп,сущ,null,и,null,3мн,сущ null,null
fin,FL,B2,,{{Если }} люди  не  борются  со  злом*@*  они  косвенно  позволяют  ему  существовать.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,{{Если }} он  не  очень  усталый*@*  он  делает  прогулку  по  городу*@*  чтобы  он  спал  немного  лучше.,если,условие,пг,мест,мест,и,и,3ед,мест мест,other
swe,HL,IH,,Я  думаю*@*  что  {{если }} люди  продумают  о  ситуацию*@*  они  прейдут  к  одинаково  вывода.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
fr,HL,C2,,Документы  являются  вещественными  знаками*@*  могущими  служить  доказательствами*@*  {{если }} они  выражают  мысли  исполнителя*@*  пригодны  сами  по  себе  или  с  помощью  др.  средств  выражения  служить  доказательством  и  неразрывно  связаны  с  определенным  предметом.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
kor,FL,Other,,Но  даже  {{если }} они  видят*@*  они  не  обращают  внимания  на  это*@*  потому  что  скоро  будет  чиститься.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
kor,FL,Other,,Ну*@*  одно  мне  любопытно  услышать*@*  как  он  живёт  в  Корее*@*  даже  {{если }} он  не  может  говорить  или  понимать  по-корейски?,если,условие,гп,мест,мест,и,и,3ед,мест мест,other
eng,HL,IL,,Причем*@*  друг  должен  вам  помогать  даже  {{если }} он  думает  что  он  нечего  не  получит  в  отмен.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,IL,,{{Если }} эти  друди  довно  не  виделис*@*  они  всё  ровно  могли  встречаться  и  по  беседовать.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,IL,,{{Если }} друд  когда  то  сердился  или  завидовал  его  друга*@*  он  или  не  презнавался  над  этом*@*  или  разговаривал  про  это  без  равинствой.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IL,,Даже  {{если }} друг  с  вами  не  согласен*@*  он  хотябе  попробывает  посмотреть  на  праблему  с  вашай  стороны.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IL,,Они  решыли  что  {{если }} они  не  разговаривают  постоянно  с  кем - то*@*  то  они  не  могут  быть  их  другом*@*  Тем  более*@*  они  считают  что  ето  значить  что  все  их  прошлые  опоминание  о  етои  же  дрижбе  тоже  не  существуют.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,IL,,Человек  является  другом  {{если }} он  остается  верным  когда  все  остальные  отказываются.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IL,,{{Если }} эти  качества  полезны*@*  то  они  будут  в  силе  вокруг  света.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Если }} друг  обижается  на  меня*@*  он  должен  чувствовать  себя  удобно  обсуждать  проблемы  со  мной.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{Если }} она  действительно  подруга*@*  она  сестра  тоже.,если,условие,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IL,,{{Если }} они  не  хотят  помогить  тебе ( не  только  могут)*@*  они  не  твои  друзья.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,IL,,{{Если }} бы  два  друга  нашли « связь»  они  должни  любить*@*  простить  и  всегда  быть  рядом  с  друг  другом.,если,условие,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Если }} человек  хороший  студент*@*  он  хороший  друг.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Настоящий  друг  будет  тебе  помогать*@*  без  вопросов  и  без  платы*@*  даже  {{если }} он  не  совсем  может  понять  тебя.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IL,,Читатель  может  спраwивать  почему  Соня  хороwая  подруга  {{если }} она  помогла  Расскольникову  исповедоваться.,если,условие,гп,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{Если }} друг  сердит  на  его  друга*@*  он  будет  говорить  об  этом  чтобы  решить  проблему.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,И  они  меня  бы  помогали  с  проблемами  даже  {{если }} заняты.,если,условие,гп,мест,null,и,null,3мн,мест null,null
nor,FL,AM,,Норвежцы  не  показывают  сильные  эмоции*@*  но*@*  {{если }} они  рады*@*  они  улыбаются.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
chi,FL,IM,,Она  тоже  очень  добрая  девушка: когда  она  сидит  в  автобусе  или  в  поезде  метро*@*  она  всегда  встаёт*@*  {{если }} она  видела  старика  или  других  слабых.,если,условие,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,,Ужасные  люди  делают  ужасные  вещи*@*  {{если }} они  могут  эмигрировать  успешно  или  неуспешно.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
kaz,HL,IH,,Я  считаю*@*  что  человек  может  заслужить  любовь  и  доверие  другого*@*  только  в  том  случаи*@*  {{если }} он  сам  имеет  эти  качества  при  себе.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,,Женщины  должны  заниматься  фитнесом  {{если }} они  хотят  заботиться  о  своих  здоровья*@*  не  потому  что  им  надо  выглядеть  тонус  мышцы  и  фигура  становиться  подтянутой.,если,условие,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,,"Автор  сказал 	 женщинам*@*  что  они  не  красивые  {{если }} не  делают  физические  упражнения.",если,условие,гп,мест,null,и,null,3мн,мест null,null
eng,FL,IH,,Из  истории  можно  видеть*@*  насколько  народ  мощен  по  отношению  к  правительству*@*  {{если }} он  едино  поднимается  против  него.,если,условие,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,,Все  зависит  от  способности  человека  выдержать  большое  давление:  {{если }} он  с  этим  справится*@*  он  будет  работать  с  вашей  эффективностью –  а  {{если }} нет*@*  тогда  стресс  начинает  давить  на  его  физическое  и  психическое  состояние.,если,условие,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,,Всегда  обсуждают  либо  проблемы  со  здоровьем ( например*@*  будет  ли  скорость  эскалаторов  причинять  носовые  провотечения)*@*  либо  моральные  вопросы ( например*@*  считает  ли  человек  себя  создателем*@*  {{если }} занимается  генной  инженерией)*@*  либо  экономические  вопросы ( сделают  ли  механизированные  ткацкие  станки  рабочие  места  лудуийов  ненужными).,если,условие,гп,сущ,null,и,null,3ед,сущ null,null
eng,FL,IM,,{{Если*@* }} например*@*  амбициозный  и  трудолюбивый  человек  добивается  больших  успехов*@*  без  сомнения  он  может  подняться  по  карьерной  лестнице  общества.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IM,,{{Если }} человек  принадлежит  к  статусной  группе*@*  он*@*  вероятнее  всего*@*  более  уверен*@*  а  иногда  высокомерен*@*  так  как  он  общается  только  с  теми*@*  кто  вращается  в  в  его  высших  кругах.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
ger,FL,AH,,Хотя  я  лично  думаю*@*  что  это  всегда  проблема  мироощущения  человека:  {{если }} человек  куда-либо  переезжает*@*  ему  надо  активно  войти  в  контакт  с  местными  жителями*@*  а  не  просто  пассивно  ждать  до  того*@*  как  кто-либо  к  ним  придет.,если,условие,пг,мест,сущ,д,и,3ед,мест сущ,other
kaz,HL,IL,,{{Если }} даже  они  нас  ругают*@*  они  хотят  чтобы  мы  исправили  свои  ошибки  и  вырасли  хорошими  людьми.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
fr,FL,B2,,{{Если }} госудирство  хочет  лучше  бороться  с  коррупцией*@*  оно  может  создать  новые  законые  и  больше  санкции.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,HL,Other,,Мы  на  столько  хорошо  знаем  друг  друга*@*  что  он  даже  намекнет  мне*@*  {{если }} заметит*@*  что  мне  надо  попудриться.,если,условие,гп,мест,null,и,null,3ед,мест null,null
fin,FL,AM,,Во-первых*@*  Русские  всегда  говорят  на  Вы*@*  {{если }} не  знают  друг  друга.,если,условие,гп,сущ,null,и,null,3мн,сущ null,null
chi,FL,B1,,{{Если }} сын  проживает  свой  век  с  родители*@*  он  не  может  вырасти  по-настоящему.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
chi,FL,C2,,Потом  я  спрошу  себя:  Почему  сын  вернулся  домой*@*  {{если }} он  будет  сразу  уходит?,если,условие,гп,сущ,null,и,null,3ед,сущ null,null
swe,FL,IL,,Человек*@*  который  много  говорит  в  связи*@*  в  которой  это  подходяще*@*  воспринимается  как  общительным*@*  но  {{если }} тот  же  человек  столько  же  говорит  б  связи*@*  в  которой  много  говорить  не  подходяще*@*  то  он  воспринимается  как  болтливым.,если,условие,п_г,мест,сущ,и,и,3ед,мест сущ,other
kaz,HL,IH,,Она  ни  с  кем  не  ругалась*@*  даже  {{если }} она  права.,если,условие,гп,мест,мест,и,и,3ед,мест мест,other
kaz,HL,IH,,{{Если }} же  он  признаст  свою  профессию  то  будет  идти  по  этому  пути.,если,условие,пг,null,мест,null,и,3ед,null мест,null
kaz,HL,IL,,{{Если }} учительница  видит  нас  в  гостях*@*  то  в  следующий  день  она  сильно  ругает  или  мы  стояли  в  угле.,если,условие,пг,мест,сущ,и,и,3ед,мест сущ,other
kaz,HL,IH,,Хороший  друг  никогда  тебя  не  бросит  одну*@*  даже  {{если }} он  обижен  на  тебя*@*  то  все  равно  забыв  обиду*@*  приходит  к  тебе*@*  чтобы  оказать  помощь.,если,условие,пг,null,мест,null,и,3ед,null мест,null
ita,FL,B1,,Они  семья  даже  {{если }} они  не  живут  вместе.   2),если,условие,гп,мест,мест,и,и,3мн,мест мест,other
ita,FL,B1,,{{Если }} они  хотят  жить  с  родителями  и  они  согласны  с  паром*@*  то  они  должны  жить  все  вместе.,если,условие,пг,мест,мест,и,и,3мн,мест мест,other
eng,HL,IH,2009-2010,Например*@* если разлучить близнецов про пождении и поселить одного в современую*@* интелигентную семью а другово в примитивное африканское племя*@* тогда они будут очень разными {{{{{{несмотря}}}}}} {{на}} {{то}}*@* {{что}} они блезници.,несмотря на то что,уступка,гп,мест,мест,и,и,3мн,мест мест,other
eng,HL,IM,2008,Так же эта книга посвящена взрослому*@* {{{{{{несмотря}}}}}} {{на}} {{то}} {{что}} она написана таким легким языком именно потому что она для взрослых.,несмотря на то что,уступка,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,{{{{{{Несмотря}}}}}} {{на}} {{то}}*@* {{что}} многие ситуации смешные*@* они все равно заставляют задуматься о жизни.,несмотря на то что,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IH,2010-2011,Поэтому {{{{{{несмотря}}}}}} {{на}} {{то}}*@* {{что}} в законах они были свободными людям*@* действительно*@* они ещё были рабами.,несмотря на то что,уступка,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,AL,2012-2013,{{{{{{Несмотря}}}}}} {{на}} {{то}}*@* {{что}} парихмакеры вынуждены были стоять в стометровых очередах за хлеб*@* они нашли время*@* чтобы гордо висеть анархистские плакаты.,несмотря на то что,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IH,2011-2012,{{{{{{Несмотря}}}}}} {{на}} {{то}}*@* {{что}} спагетти- вестерны снимались под итальянскими режиссёрами*@* и что они характеризуются наличием более активного действия и насилия*@* чем американские вестерны*@* спагетти- вестерны пользуются огромным успехом в Америке*@* благодаря вдохновленным выступлениям таких американских актёров*@* как Чарльз Бронсон*@* Ли ван Клиф и Клинт Иствуд.,несмотря на то что,уступка,п_г,сущ,сущ,и,и,3мн,сущ сущ,other
eng,HL,AM,2011-2012,{{{{{{Несмотря}}}}}} {{на}} {{то}}*@* {{что}} процессы социализации особенно важны для индивида в детском возрасте*@* они протекают на протяжении всей его жизни.,несмотря на то что,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
kaz,HL,IH,,{{{{{{Несмотря }}}}}} {{на }} {{то*@* }} {{что }} она  рано  вышла  замуж*@*  она  умела  вести  себя  подобающе  взрослому  человеку.,несмотря на то что,уступка,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Общества  изменялись  и  ролы  женщин  и  мужчин  тоже  изменялись –  но  взгляды  остались*@*  {{{{{{несмотря }}}}}} {{на }} {{то*@* }} {{что }} они  не  соответствуют  жизни  и  положение  общество.,несмотря на то что,уступка,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,{{{{{{Несмотря }}}}}} {{на }} {{то*@* }} {{что }} этот  город  очень  маленький*@*  значительно  меньше*@*  чем  Хельсинки*@*  он  мне  очень  нравится.,несмотря на то что,уступка,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,По  утрам  он  очень  устал  {{{{{{несмотря }}}}}} {{на }} {{то*@* }} {{что }} он  рано  ложится  спать  каждую  ночь.,несмотря на то что,уступка,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,,{{{{{{Несмотря }}}}}} {{на }} {{то*@* }} {{что }} она  была  на  пенсии*@*  она  была  также  добровольцем  в  библиотеке  местного  университета  всякий  раз*@*  когда  у  нее  было  время.,несмотря на то что,уступка,пг,мест,мест,и,и,3ед,мест мест,other
jap,FL,B1,,{{{{{{Несмотря }}}}}} {{на }} {{то*@* }} {{что }} Интернет  так  удобным*@*  он  может  оказать  плохое  влияние  на  человека*@*  особенно*@*  на  ребёнка.,несмотря на то что,уступка,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IH,2009-2010,Например*@* культура - {{хотя}} не одынаковая - очень похожа на Европу*@* особенно та западной России.,хотя,уступка,гпг,сущ,null,и,null,3ед,сущ null,null
eng,HL,AL,2010-2011,Те*@* кто придерживается консервативной политике*@* утверждали*@* что {{хотя}} какие-то страны стоят на первом месте*@* они не сильно активно действуют на экономических рынках.,хотя,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,AL,2011,Можно сказать*@* что {{хотя}} украинский и белорусский подходы сильно отличаются дург от друга*@* он оба ясные и четко определенные*@* и с моей точки зрения*@* поэтому они оба успешные.,хотя,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,AL,2010-2011,{{Хотя}} после окончания гимназии Николай Рерих поступил в Императорскую Академию художеств*@* по требованию отца*@* он также поступил на юридический факультет Петербургского университета.,хотя,уступка,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,AL,2010-2011,Работы художника написаны почти исключительно в жанре пейзажа*@* {{хотя}} иногда они включают человеческую фигуру.,хотя,уступка,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,AL,2012-2013,{{Хотя}} творчество Бродского перестало быть модным»*@* оно еще имеет свое место в литературных кругах.,хотя,уступка,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,AL,2009-2010,Они думают*@* что {{хотя}} Америка имеет много проблем*@* она показала свою прогрессивность через избрание афро- американца в Белый дом.,хотя,уступка,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IH,2012-2013,К тому же*@* переводчики и лингвисты*@* {{хотя}} имеют место в рынке труда*@* не такие нужные в Америке как в России.,хотя,уступка,гпг,сущ,null,и,null,3мн,сущ null,null
eng,FL,IM,2010-2011,{{Хотя}} он был одним из худших штрафного броска стрелков в НБА*@* он считал себя рикошетник и защитник.,хотя,уступка,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2011,{{Хотя}} Илеуова ошибается тем*@* что можно ненатурально развивать казахский язык и в обществе*@* и в образовании*@* она отмечает главный факт*@* которые передает хороший анализ казахстанского лингвистического положения.,хотя,уступка,п_г,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,AL,2010-2011,С одной стороны*@* фильм по началу весёлый*@* события и приключения Некрасова и Карякина*@* {{хотя}} они имеют серьёзный характер*@* все равно были показаны с юмором.,хотя,уступка,гпг,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,IM,2008,Он был великолепным пилотом*@* {{хотя}} данную местность он знал не очень хорошо.,хотя,уступка,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2010-2011,В эту ночь он напился и*@* {{хотя}}*@* он пытался найти Кремль*@* он попал так*@* как у него случилось уже много раз) на Курский вокзал.,хотя,уступка,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,Кажется*@* они знают о присутствии друг друга*@* {{хотя}} они никогда фактически взаимодействуют.,хотя,уступка,гп,мест,мест,и,и,3мн,мест мест,other
eng,FL,AL,2011-2012,Более того*@* {{хотя}} она редко говорит по- английский со мной*@* она очень самоуверенная*@* когда она помогает студентам с уроками английскими.,хотя,уступка,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,AL,2009-2010,{{Хотя}} фильтры не решают корень проблемы*@* они все таки помогают жителем больших городов получать кислород.,хотя,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,AL,2009-2010,{{Хотя}} Россия намного отстала от Западных стран в решении экологических проблем*@* государство постепенно работает над ними.,хотя,уступка,пг,сущ,д_сущ,и,и,3ед,сущ д_сущ,other
eng,FL,AM,2012-2013,Во время его строительства стиль архитектуры Арт Деко пользовался большой популярностью в СССР*@* {{хотя}} в отличие от Запада в СССР этот стиль назывался Сталинский ампир».,хотя,уступка,гп,сущ,сущ,и,и,3ед,сущ сущ,other
eng,HL,AL,2010-2011,Работы художника написаны почти исключительно в жанре пейзажа*@* {{хотя}} иногда*@* они включают человеческую фигуру в нарративном контексте.,хотя,уступка,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IM,2008-2009,{{Хотя}}*@* авторы*@* чьи книги издавали Магаданское Книжное Издательство*@* не подробно объяснили историю Магадана*@* они лишь упомянули что- то про действие бывшего режима при Сталине.,хотя,уступка,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,AH,2012-2013,Мне кажется*@* что отношение к здоровью у двух культр в какой-то степени похоже*@* {{хотя}} иногда проявляется по разному.,хотя,уступка,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IM,2010-2011,Хотя автор {{пишет}} об успехе Пера Первого*@* он также указывает на проблемы правления Петра.,хотя,уступка,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IM,2008,Он был великолепным пилотом*@* {{хотя}} данную местность он знал не очень хорошо.,хотя,уступка,гп,мест,мест,и,и,3ед,мест мест,other
